Model,Team return,Weighted completion,Full success,Successful length,Safety violation,Global RCR,Contribution spread,Mean pairwise JSD
ippo_fixed,-0.8000017801920573,0.08333333333333333,0.0,,1.0,0.3333333333333333,23.970714569091797,0.0034041099715977907
ippo_random,-0.8000017801920573,0.08333333333333333,0.0,,1.0,0.3333333333333333,23.97110939025879,0.0034216910135000944
mappo_fixed,-15.966667811075846,0.02777777777777779,0.0,,1.0,0.16666666666666666,24.624683380126953,3.372043693161686e-06
mappo_random,-17.30000114440918,0.0,0.0,,1.0,0.16666666666666666,23.263019561767578,3.3367796277161688e-06
